Ticket_ID,Original_Text,Category,Cluster_Label,x,y
TKT-18392,сброс пароля не работает (Ticket #4681),Account,Login Issues,4.9227,5.4139
TKT-87110,документация устарела (Ticket #1344),Engineering,API Support,-4.5156,-6.7118
TKT-87128,нужен акт сверки (Ticket #4770),Finance,Billing & Payments,-7.9985,7.7764
TKT-19305,хочу экспорт в PDF (Ticket #1117),Product,Feature Requests,7.7428,-4.827
TKT-40007,двухфакторка сломалась (Ticket #1964),Account,Login Issues,4.0378,6.6608
TKT-53309,добавьте темную тему (Ticket #1514),Product,Feature Requests,7.9455,-3.7397
TKT-41195,не могу войти (Ticket #9423),Account,Login Issues,5.0337,3.5635
TKT-38080,документация устарела (Ticket #8953),Engineering,API Support,-6.4997,-3.971
TKT-84847,верните старый дизайн (Ticket #3167),Product,Feature Requests,8.011,-4.4386
TKT-41850,ошибка 500 (Ticket #8744),Engineering,Technical Bugs,-0.8644,-7.3239
TKT-34957,ошибка 403 при входе (Ticket #7669),Account,Login Issues,3.8967,6.8599
TKT-96374,где мой счет? (Ticket #2588),Finance,Billing & Payments,-4.4216,7.1117
TKT-65519,ошибка 403 при входе (Ticket #6804),Account,Login Issues,4.5719,5.6673
TKT-17100,сделайте кнопку больше (Ticket #8651),Product,Feature Requests,5.9474,-3.8572
TKT-17944,двухфакторка сломалась (Ticket #2612),Account,Login Issues,5.3119,5.9382
TKT-24322,ошибка 403 при входе (Ticket #6559),Account,Login Issues,6.1578,3.7222
TKT-34931,кнопка не нажимается (Ticket #4139),Engineering,Technical Bugs,-0.3426,-5.7216
TKT-28373,не приходит смс с кодом (Ticket #8350),Account,Login Issues,4.184,5.2787
TKT-46509,сделайте кнопку больше (Ticket #4006),Product,Feature Requests,8.2715,-2.9831
TKT-19880,медленно грузится (Ticket #5092),Engineering,Technical Bugs,0.6803,-7.1974
TKT-16630,ошибка 403 при входе (Ticket #2604),Account,Login Issues,7.2389,5.5686
TKT-22224,ошибка в json ответе (Ticket #1241),Engineering,API Support,-5.1186,-6.1454
TKT-63269,сброс пароля не работает (Ticket #3724),Account,Login Issues,3.4039,4.9697
TKT-38016,медленно грузится (Ticket #8886),Engineering,Technical Bugs,0.9865,-4.7238
TKT-31579,сделайте кнопку больше (Ticket #1960),Product,Feature Requests,10.728,-3.8236
TKT-61173,webhook не приходит (Ticket #1035),Engineering,API Support,-4.9074,-5.0357
TKT-47388,белый экран (Ticket #8454),Engineering,Technical Bugs,0.0156,-5.2558
TKT-30289,сделайте кнопку больше (Ticket #8973),Product,Feature Requests,9.0201,-3.5268
TKT-38534,хочу экспорт в PDF (Ticket #5861),Product,Feature Requests,6.8444,-2.8274
TKT-17989,приложение вылетает (Ticket #9883),Engineering,Technical Bugs,-0.0139,-6.7713
TKT-16572,документация устарела (Ticket #1936),Engineering,API Support,-5.6073,-4.3921
TKT-75909,ошибка в json ответе (Ticket #8811),Engineering,API Support,-6.149,-4.1116
TKT-17455,ошибка в json ответе (Ticket #3579),Engineering,API Support,-5.5963,-4.9392
TKT-34356,верните старый дизайн (Ticket #2312),Product,Feature Requests,6.9838,-5.8178
TKT-98501,не могу войти (Ticket #2113),Account,Login Issues,3.8887,4.3844
TKT-25713,сброс пароля не работает (Ticket #7615),Account,Login Issues,6.3156,4.5975
TKT-85880,ошибка 500 (Ticket #5033),Engineering,Technical Bugs,-1.0606,-6.8155
TKT-91183,нужен акт сверки (Ticket #1651),Finance,Billing & Payments,-6.0263,4.7675
TKT-96163,где мой счет? (Ticket #7868),Finance,Billing & Payments,-3.9531,7.2794
TKT-51467,ошибка 500 (Ticket #9565),Engineering,Technical Bugs,0.5397,-4.8653
TKT-97782,верните деньги (Ticket #4346),Finance,Billing & Payments,-4.382,6.6165
TKT-41285,двухфакторка сломалась (Ticket #6147),Account,Login Issues,4.1205,5.2344
TKT-27154,забыл логин (Ticket #7484),Account,Login Issues,3.5801,5.594
TKT-51441,нужна интеграция с 1С (Ticket #8491),Product,Feature Requests,6.1273,-1.5996
TKT-70068,приложение вылетает (Ticket #1152),Engineering,Technical Bugs,2.7776,-9.2407
TKT-19602,ошибка в json ответе (Ticket #2638),Engineering,API Support,-5.8202,-4.8309
TKT-76307,не приходит смс с кодом (Ticket #4492),Account,Login Issues,3.9283,4.5982
TKT-55745,забыл логин (Ticket #3170),Account,Login Issues,4.3505,5.9322
TKT-58434,добавьте темную тему (Ticket #5002),Product,Feature Requests,7.1236,-3.7402
TKT-67433,документация устарела (Ticket #3584),Engineering,API Support,-6.4494,-6.5495
TKT-90173,ошибка 500 (Ticket #5956),Engineering,Technical Bugs,1.6361,-6.0055
TKT-97538,ошибка в json ответе (Ticket #1128),Engineering,API Support,-6.1286,-5.5835
TKT-96951,ошибка 500 (Ticket #5905),Engineering,Technical Bugs,-0.951,-7.1377
TKT-44664,токен не валиден (Ticket #3200),Engineering,API Support,-3.8625,-5.8129
TKT-82512,не могу войти (Ticket #2753),Account,Login Issues,4.5989,4.6186
TKT-46930,оплата не проходит (Ticket #5462),Finance,Billing & Payments,-5.3832,5.7545
TKT-54942,не приходит смс с кодом (Ticket #4450),Account,Login Issues,3.4869,6.1014
TKT-76244,превышен лимит запросов (Ticket #5325),Engineering,API Support,-5.5472,-3.0184
TKT-16658,webhook не приходит (Ticket #5114),Engineering,API Support,-7.8232,-5.5811
TKT-46265,приложение вылетает (Ticket #7939),Engineering,Technical Bugs,-0.2849,-4.7536
TKT-53719,где мой счет? (Ticket #1058),Finance,Billing & Payments,-4.1611,6.7199
TKT-31178,хочу экспорт в PDF (Ticket #5291),Product,Feature Requests,7.6969,-5.4973
TKT-82309,обновить данные карты (Ticket #8239),Finance,Billing & Payments,-3.1483,7.5879
TKT-83519,обновить данные карты (Ticket #8007),Finance,Billing & Payments,-4.9978,6.9071
TKT-19862,токен не валиден (Ticket #2832),Engineering,API Support,-4.8328,-3.1466
TKT-81511,обновить данные карты (Ticket #3442),Finance,Billing & Payments,-4.9162,5.5376
TKT-86350,приложение вылетает (Ticket #7049),Engineering,Technical Bugs,0.7294,-5.761
TKT-66333,ошибка 500 (Ticket #3426),Engineering,Technical Bugs,-0.7382,-4.4664
TKT-50404,кнопка не нажимается (Ticket #1685),Engineering,Technical Bugs,0.5355,-5.6365
TKT-56898,забыл логин (Ticket #1653),Account,Login Issues,5.3372,4.2528
TKT-97416,сброс пароля не работает (Ticket #5088),Account,Login Issues,3.6134,6.8841
TKT-83385,где мой счет? (Ticket #6794),Finance,Billing & Payments,-5.7467,5.5734
TKT-41029,webhook не приходит (Ticket #3532),Engineering,API Support,-5.3647,-5.2207
TKT-64040,хочу экспорт в PDF (Ticket #3900),Product,Feature Requests,8.5384,-4.0945
TKT-53540,добавьте темную тему (Ticket #3938),Product,Feature Requests,8.6621,-4.8522
TKT-44970,медленно грузится (Ticket #5065),Engineering,Technical Bugs,-0.0251,-6.8592
TKT-60140,оплата не проходит (Ticket #2771),Finance,Billing & Payments,-4.4094,4.1671
TKT-39154,токен не валиден (Ticket #8711),Engineering,API Support,-5.0826,-6.3334
TKT-55830,сброс пароля не работает (Ticket #8541),Account,Login Issues,4.2478,3.3896
TKT-39219,забыл логин (Ticket #4728),Account,Login Issues,6.5666,5.0252
TKT-62227,токен не валиден (Ticket #4164),Engineering,API Support,-6.2871,-3.9752
TKT-19099,нужна интеграция с 1С (Ticket #5564),Product,Feature Requests,8.4705,-4.1494
TKT-94080,нужна интеграция с 1С (Ticket #6753),Product,Feature Requests,10.2948,-2.7217
TKT-99065,ошибка в json ответе (Ticket #7548),Engineering,API Support,-5.7577,-5.9657
TKT-13617,верните старый дизайн (Ticket #6425),Product,Feature Requests,9.3897,-3.05
TKT-33405,не могу войти (Ticket #5279),Account,Login Issues,7.1764,5.4855
TKT-15014,верните старый дизайн (Ticket #5349),Product,Feature Requests,9.0668,-3.4047
TKT-55309,не могу войти (Ticket #8119),Account,Login Issues,4.48,5.2446
TKT-67199,обновить данные карты (Ticket #6139),Finance,Billing & Payments,-6.898,6.0948
TKT-25157,ошибка в json ответе (Ticket #9379),Engineering,API Support,-4.6148,-5.5729
TKT-43386,ошибка 403 при входе (Ticket #4114),Account,Login Issues,2.9081,6.2834
TKT-10221,добавьте темную тему (Ticket #8144),Product,Feature Requests,5.5555,-2.116
TKT-97900,нужен акт сверки (Ticket #9821),Finance,Billing & Payments,-5.8692,3.7491
TKT-66531,превышен лимит запросов (Ticket #6967),Engineering,API Support,-6.0222,-5.3464
TKT-91678,где мой счет? (Ticket #6409),Finance,Billing & Payments,-3.9777,6.922
TKT-49363,забыл логин (Ticket #3041),Account,Login Issues,6.0082,6.36
TKT-97410,верните старый дизайн (Ticket #6067),Product,Feature Requests,7.8695,-3.5179
TKT-62743,ошибка 403 при входе (Ticket #6344),Account,Login Issues,5.0689,3.9871
TKT-35144,документация устарела (Ticket #3085),Engineering,API Support,-5.9164,-3.8198
TKT-98777,медленно грузится (Ticket #7211),Engineering,Technical Bugs,-0.2017,-6.6578
TKT-90676,данные не сохранились (Ticket #3851),Engineering,Technical Bugs,0.0294,-6.4024
TKT-63225,не приходит смс с кодом (Ticket #5930),Account,Login Issues,4.1578,3.8395
TKT-49829,не приходит смс с кодом (Ticket #1006),Account,Login Issues,6.4405,7.1793
TKT-66346,забыл логин (Ticket #4443),Account,Login Issues,4.8281,4.2793
TKT-70946,верните старый дизайн (Ticket #6279),Product,Feature Requests,6.8153,-4.5894
TKT-98555,сделайте кнопку больше (Ticket #8244),Product,Feature Requests,5.4513,-4.6309
TKT-72021,оплата не проходит (Ticket #9375),Finance,Billing & Payments,-5.9579,4.3946
TKT-47196,хочу экспорт в PDF (Ticket #2389),Product,Feature Requests,5.7048,-3.565
TKT-22240,верните старый дизайн (Ticket #6491),Product,Feature Requests,6.1825,-3.1844
TKT-39444,превышен лимит запросов (Ticket #6085),Engineering,API Support,-7.5843,-2.8022
TKT-13201,оплата не проходит (Ticket #3414),Finance,Billing & Payments,-6.4781,6.2275
TKT-72277,не могу войти (Ticket #5011),Account,Login Issues,4.8704,6.8325
TKT-69692,не приходит смс с кодом (Ticket #2193),Account,Login Issues,6.6469,4.1867
TKT-60328,ошибка 403 при входе (Ticket #4185),Account,Login Issues,4.8626,6.4854
TKT-41979,медленно грузится (Ticket #7547),Engineering,Technical Bugs,0.2624,-7.5813
TKT-23970,превышен лимит запросов (Ticket #1090),Engineering,API Support,-4.1805,-4.625
TKT-33053,webhook не приходит (Ticket #4585),Engineering,API Support,-6.7731,-3.3728
TKT-16582,ошибка в json ответе (Ticket #8611),Engineering,API Support,-7.2811,-5.1709
TKT-25906,ошибка 500 (Ticket #5082),Engineering,Technical Bugs,-1.0465,-7.8052
TKT-70901,ошибка 403 при входе (Ticket #3184),Account,Login Issues,6.2725,6.8496
TKT-68008,верните старый дизайн (Ticket #6198),Product,Feature Requests,3.8262,-4.3219
TKT-65933,ошибка 500 (Ticket #9270),Engineering,Technical Bugs,1.4152,-6.919
TKT-30861,верните старый дизайн (Ticket #8305),Product,Feature Requests,9.2319,-3.8007
TKT-68991,двухфакторка сломалась (Ticket #8777),Account,Login Issues,4.3241,8.0471
TKT-93579,документация устарела (Ticket #5050),Engineering,API Support,-4.2131,-3.9466
TKT-73517,белый экран (Ticket #9540),Engineering,Technical Bugs,0.2802,-6.0368
TKT-45992,обновить данные карты (Ticket #4919),Finance,Billing & Payments,-3.7299,3.8895
TKT-47450,медленно грузится (Ticket #2269),Engineering,Technical Bugs,0.3014,-7.5446
TKT-54020,сброс пароля не работает (Ticket #5451),Account,Login Issues,6.8028,5.0889
TKT-20561,нужна интеграция с 1С (Ticket #9849),Product,Feature Requests,8.2641,-6.2607
TKT-40311,сброс пароля не работает (Ticket #3471),Account,Login Issues,4.9823,5.9557
TKT-38043,сделайте кнопку больше (Ticket #3503),Product,Feature Requests,6.1722,-2.5529
TKT-63424,приложение вылетает (Ticket #7797),Engineering,Technical Bugs,-2.1832,-5.9025
TKT-71069,забыл логин (Ticket #9890),Account,Login Issues,7.8104,3.6778
TKT-37110,медленно грузится (Ticket #2020),Engineering,Technical Bugs,0.4399,-8.1279
TKT-86556,сделайте кнопку больше (Ticket #7381),Product,Feature Requests,8.8968,-4.3488
TKT-85456,данные не сохранились (Ticket #1320),Engineering,Technical Bugs,0.5613,-6.9819
TKT-10772,webhook не приходит (Ticket #8814),Engineering,API Support,-6.6363,-5.9514
TKT-61116,документация устарела (Ticket #5892),Engineering,API Support,-5.939,-5.5864
TKT-81582,webhook не приходит (Ticket #9818),Engineering,API Support,-7.7209,-5.2298
TKT-73993,нужен акт сверки (Ticket #4613),Finance,Billing & Payments,-5.4496,5.0176
TKT-67125,кнопка не нажимается (Ticket #5471),Engineering,Technical Bugs,-0.8397,-6.7432
TKT-60968,медленно грузится (Ticket #1475),Engineering,Technical Bugs,1.0216,-7.7444
TKT-31632,забыл логин (Ticket #7624),Account,Login Issues,5.2138,5.0428
TKT-91560,почему списали дважды? (Ticket #3091),Finance,Billing & Payments,-4.7695,7.9165
TKT-61645,нужен акт сверки (Ticket #1441),Finance,Billing & Payments,-3.9783,4.8145
TKT-21003,ошибка 500 (Ticket #1444),Engineering,Technical Bugs,-1.1667,-6.9046
TKT-27786,обновить данные карты (Ticket #8022),Finance,Billing & Payments,-6.4037,4.0091
TKT-16590,ошибка 403 при входе (Ticket #3977),Account,Login Issues,4.0747,5.6914
TKT-52906,забыл логин (Ticket #7211),Account,Login Issues,3.1274,5.248
TKT-52840,превышен лимит запросов (Ticket #8449),Engineering,API Support,-3.9754,-3.942
TKT-46471,белый экран (Ticket #7211),Engineering,Technical Bugs,-0.3577,-4.3926
TKT-20735,сделайте кнопку больше (Ticket #5133),Product,Feature Requests,10.8492,-2.7826
TKT-80702,ошибка 403 при входе (Ticket #1317),Account,Login Issues,2.5909,6.2809
TKT-39389,токен не валиден (Ticket #6733),Engineering,API Support,-4.3251,-6.5716
TKT-95426,обновить данные карты (Ticket #2124),Finance,Billing & Payments,-5.0135,4.0344
TKT-42411,токен не валиден (Ticket #1508),Engineering,API Support,-6.7405,-6.5106
TKT-91439,хочу экспорт в PDF (Ticket #1333),Product,Feature Requests,8.957,-3.8258
TKT-26544,сброс пароля не работает (Ticket #4908),Account,Login Issues,7.1542,4.9106
TKT-83920,ошибка 403 при входе (Ticket #2874),Account,Login Issues,5.3432,7.1397
TKT-43586,оплата не проходит (Ticket #8619),Finance,Billing & Payments,-3.8804,5.0859
TKT-89415,верните деньги (Ticket #3749),Finance,Billing & Payments,-5.9159,3.8341
TKT-31465,не приходит смс с кодом (Ticket #2876),Account,Login Issues,5.259,7.0508
TKT-85849,забыл логин (Ticket #2771),Account,Login Issues,3.1709,5.9573
TKT-85470,токен не валиден (Ticket #6111),Engineering,API Support,-5.0829,-4.987
TKT-35995,webhook не приходит (Ticket #7498),Engineering,API Support,-6.7822,-4.9431
TKT-23356,где мой счет? (Ticket #4978),Finance,Billing & Payments,-2.5195,3.6661
TKT-99687,обновить данные карты (Ticket #5941),Finance,Billing & Payments,-5.7224,6.9123
TKT-84177,ошибка в json ответе (Ticket #2983),Engineering,API Support,-3.1321,-5.7253
TKT-79827,приложение вылетает (Ticket #6688),Engineering,Technical Bugs,0.6925,-7.2437
TKT-19038,сделайте кнопку больше (Ticket #7071),Product,Feature Requests,8.2037,-3.8927
TKT-11658,верните старый дизайн (Ticket #6590),Product,Feature Requests,8.8017,-4.227
TKT-23833,сделайте кнопку больше (Ticket #9031),Product,Feature Requests,7.8562,-3.8635
TKT-93307,ошибка 403 при входе (Ticket #6934),Account,Login Issues,5.9154,5.7656
TKT-67080,медленно грузится (Ticket #3506),Engineering,Technical Bugs,0.4733,-7.5052
TKT-95256,кнопка не нажимается (Ticket #9548),Engineering,Technical Bugs,0.8908,-6.7079
TKT-73372,забыл логин (Ticket #9817),Account,Login Issues,4.6758,6.1371
TKT-87656,медленно грузится (Ticket #8136),Engineering,Technical Bugs,0.8495,-4.3499
TKT-42177,забыл логин (Ticket #6280),Account,Login Issues,5.3923,4.7371
TKT-69087,где мой счет? (Ticket #5569),Finance,Billing & Payments,-3.9291,6.1147
TKT-84691,кнопка не нажимается (Ticket #8613),Engineering,Technical Bugs,-2.7469,-5.281
TKT-54092,ошибка 500 (Ticket #7209),Engineering,Technical Bugs,-1.7743,-5.6275
TKT-52600,добавьте темную тему (Ticket #9098),Product,Feature Requests,8.6113,-2.5032
TKT-37802,хочу экспорт в PDF (Ticket #8988),Product,Feature Requests,8.5755,-2.1004
TKT-54608,документация устарела (Ticket #5232),Engineering,API Support,-6.5512,-6.0198
TKT-82848,документация устарела (Ticket #5526),Engineering,API Support,-6.5962,-4.5346
TKT-35042,добавьте темную тему (Ticket #9464),Product,Feature Requests,9.8117,-3.5176
TKT-63271,приложение вылетает (Ticket #4954),Engineering,Technical Bugs,-0.4875,-6.6874
TKT-72402,webhook не приходит (Ticket #4937),Engineering,API Support,-6.3238,-6.1745
TKT-12260,webhook не приходит (Ticket #8342),Engineering,API Support,-7.2223,-1.4286
TKT-39045,добавьте темную тему (Ticket #5820),Product,Feature Requests,9.1566,-2.8317
TKT-50135,медленно грузится (Ticket #4986),Engineering,Technical Bugs,0.4961,-4.7478
TKT-72031,данные не сохранились (Ticket #7046),Engineering,Technical Bugs,1.4184,-6.5702
TKT-55056,нужен акт сверки (Ticket #9698),Finance,Billing & Payments,-6.4133,5.1837
TKT-56112,почему списали дважды? (Ticket #6419),Finance,Billing & Payments,-4.7834,9.1723
TKT-45509,двухфакторка сломалась (Ticket #8434),Account,Login Issues,6.0414,3.8762
TKT-40217,белый экран (Ticket #5118),Engineering,Technical Bugs,0.1313,-6.1291
TKT-51359,добавьте темную тему (Ticket #4155),Product,Feature Requests,9.446,-3.1931
TKT-34267,где мой счет? (Ticket #9779),Finance,Billing & Payments,-5.7529,5.4055
TKT-73464,хочу экспорт в PDF (Ticket #4545),Product,Feature Requests,8.0669,-2.687
TKT-88222,документация устарела (Ticket #9595),Engineering,API Support,-4.3234,-5.8285
TKT-35443,верните деньги (Ticket #2647),Finance,Billing & Payments,-6.2145,4.0142
TKT-57301,забыл логин (Ticket #4727),Account,Login Issues,3.1331,1.6584
TKT-11854,кнопка не нажимается (Ticket #5952),Engineering,Technical Bugs,-1.8033,-7.3129
TKT-45954,верните старый дизайн (Ticket #3073),Product,Feature Requests,7.7709,-3.6244
TKT-82529,не могу войти (Ticket #1893),Account,Login Issues,1.7637,4.9348
TKT-93606,забыл логин (Ticket #3068),Account,Login Issues,6.2966,2.7861
TKT-11607,почему списали дважды? (Ticket #2680),Finance,Billing & Payments,-5.3227,4.6722
TKT-71524,верните старый дизайн (Ticket #5658),Product,Feature Requests,6.3924,-3.8213
TKT-54657,ошибка 403 при входе (Ticket #8216),Account,Login Issues,3.955,3.0656
TKT-43092,кнопка не нажимается (Ticket #1841),Engineering,Technical Bugs,0.2377,-7.1732
TKT-18564,webhook не приходит (Ticket #2869),Engineering,API Support,-7.7205,-3.2415
TKT-19710,медленно грузится (Ticket #9056),Engineering,Technical Bugs,1.6663,-10.1912
TKT-29887,верните старый дизайн (Ticket #1878),Product,Feature Requests,7.3235,-8.2818
TKT-21164,кнопка не нажимается (Ticket #5978),Engineering,Technical Bugs,-0.4112,-7.4457
TKT-83147,превышен лимит запросов (Ticket #2940),Engineering,API Support,-5.8683,-5.2207
TKT-78494,почему списали дважды? (Ticket #4697),Finance,Billing & Payments,-4.0001,4.4082
TKT-68028,сделайте кнопку больше (Ticket #8381),Product,Feature Requests,9.4666,-6.6092
TKT-50026,белый экран (Ticket #8025),Engineering,Technical Bugs,0.866,-8.3549
TKT-89905,ошибка в json ответе (Ticket #1986),Engineering,API Support,-8.0502,-3.7876
TKT-91987,токен не валиден (Ticket #4404),Engineering,API Support,-5.3994,-6.2639
TKT-96563,оплата не проходит (Ticket #5335),Finance,Billing & Payments,-3.5002,6.5044
TKT-41439,добавьте темную тему (Ticket #3573),Product,Feature Requests,5.9681,-5.0806
TKT-30517,оплата не проходит (Ticket #2229),Finance,Billing & Payments,-4.6086,4.4987
TKT-69048,добавьте темную тему (Ticket #7693),Product,Feature Requests,8.6329,-3.6857
TKT-48175,ошибка в json ответе (Ticket #8699),Engineering,API Support,-7.4898,-5.9796
TKT-47762,где мой счет? (Ticket #4792),Finance,Billing & Payments,-5.3952,5.8838
TKT-19329,нужна интеграция с 1С (Ticket #8438),Product,Feature Requests,6.4635,-1.8942
TKT-44675,двухфакторка сломалась (Ticket #4824),Account,Login Issues,2.8958,4.3461
TKT-65723,верните старый дизайн (Ticket #4241),Product,Feature Requests,8.1997,-5.1712
TKT-39466,приложение вылетает (Ticket #9922),Engineering,Technical Bugs,0.1371,-6.8196
TKT-44816,двухфакторка сломалась (Ticket #3441),Account,Login Issues,7.7342,1.6592
TKT-17816,сброс пароля не работает (Ticket #2169),Account,Login Issues,7.5863,5.8067
TKT-87993,сброс пароля не работает (Ticket #6039),Account,Login Issues,5.205,4.7792
TKT-67560,верните старый дизайн (Ticket #5728),Product,Feature Requests,9.3236,-2.6183
TKT-49857,где мой счет? (Ticket #8679),Finance,Billing & Payments,-3.3839,6.1522
TKT-45683,двухфакторка сломалась (Ticket #7594),Account,Login Issues,5.4899,2.9569
TKT-74722,не приходит смс с кодом (Ticket #9847),Account,Login Issues,7.1731,4.975
TKT-88385,webhook не приходит (Ticket #2317),Engineering,API Support,-4.0554,-3.1154
TKT-52247,не могу войти (Ticket #8078),Account,Login Issues,8.3129,4.7412
TKT-13390,не приходит смс с кодом (Ticket #5102),Account,Login Issues,2.791,3.4645
TKT-98381,где мой счет? (Ticket #4750),Finance,Billing & Payments,-7.2257,4.8125
TKT-98117,ошибка 500 (Ticket #1339),Engineering,Technical Bugs,-0.27,-5.5509
TKT-32962,нужна интеграция с 1С (Ticket #1659),Product,Feature Requests,6.829,-2.7356
TKT-95394,медленно грузится (Ticket #9502),Engineering,Technical Bugs,-0.1532,-6.3338
TKT-33788,webhook не приходит (Ticket #5557),Engineering,API Support,-8.1057,-5.1487
TKT-93202,верните старый дизайн (Ticket #8141),Product,Feature Requests,8.3403,-4.3367
TKT-71605,ошибка 403 при входе (Ticket #2494),Account,Login Issues,8.0721,4.8847
TKT-53687,верните деньги (Ticket #7690),Finance,Billing & Payments,-5.5761,8.7582
TKT-31079,забыл логин (Ticket #2713),Account,Login Issues,5.2158,4.5982
TKT-74942,забыл логин (Ticket #7744),Account,Login Issues,5.9216,6.9215
TKT-82102,забыл логин (Ticket #7561),Account,Login Issues,5.8493,4.325
TKT-21542,токен не валиден (Ticket #8451),Engineering,API Support,-4.8171,-5.7134
TKT-52372,забыл логин (Ticket #5135),Account,Login Issues,3.4168,4.7285
TKT-77449,приложение вылетает (Ticket #7622),Engineering,Technical Bugs,0.98,-6.2576
TKT-70552,токен не валиден (Ticket #9889),Engineering,API Support,-4.9993,-4.449
TKT-34586,ошибка 403 при входе (Ticket #1888),Account,Login Issues,5.3205,5.8813
TKT-91609,ошибка 500 (Ticket #6927),Engineering,Technical Bugs,0.9822,-6.8394
TKT-16764,webhook не приходит (Ticket #8242),Engineering,API Support,-6.9831,-4.2611
TKT-81987,оплата не проходит (Ticket #5375),Finance,Billing & Payments,-3.3718,5.5687
TKT-67424,хочу экспорт в PDF (Ticket #5719),Product,Feature Requests,7.4415,-2.9362
TKT-25915,обновить данные карты (Ticket #8941),Finance,Billing & Payments,-3.3826,7.5569
TKT-30758,приложение вылетает (Ticket #4920),Engineering,Technical Bugs,-1.0269,-3.7097
TKT-82384,белый экран (Ticket #1224),Engineering,Technical Bugs,-1.251,-5.4665
TKT-39451,сделайте кнопку больше (Ticket #2527),Product,Feature Requests,9.6006,-3.6186
