Timestamp,Model_Name,Total_Tokens,Latency_Seconds,Cost_USD
2026-01-26 04:15:23.636379,gemini-1.5-pro,1168,12.66,0.0058
2026-01-26 04:24:41.636379,gpt-4o,1692,14.72,0.0254
2026-01-26 04:34:24.636379,gpt-4o,14760,118.2,0.2214
2026-01-26 04:37:23.636379,gpt-4o,1412,11.44,0.0212
2026-01-26 04:38:37.636379,gemini-1.5-pro,1263,11.98,0.0063
2026-01-26 04:40:10.636379,gpt-4o,946,8.36,0.0142
2026-01-26 04:43:59.636379,gemini-1.5-pro,3805,39.38,0.019
2026-01-26 05:06:05.636379,gpt-4o,1508,12.66,0.0226
2026-01-26 05:33:24.636379,gpt-4o,944,7.67,0.0142
2026-01-26 05:38:10.636379,gpt-4o,6777,54.6,0.1017
2026-01-26 05:38:17.636379,gemini-1.5-pro,7477,75.38,0.0374
2026-01-26 05:40:29.636379,gemini-1.5-pro,991,10.98,0.005
2026-01-26 05:43:32.636379,gpt-4o,279,2.36,0.0042
2026-01-26 05:45:27.636379,gpt-4o,4951,39.48,0.0743
2026-01-26 05:45:30.636379,gpt-4o,911,6.84,0.0137
2026-01-26 05:56:49.636379,gemini-1.5-pro,3986,40.36,0.0199
2026-01-26 06:03:46.636379,gpt-4o,252,2.99,0.0038
2026-01-26 06:11:20.636379,gemini-1.5-pro,4414,53.35,0.0221
2026-01-26 06:14:33.636379,gpt-4o,538,4.12,0.0081
2026-01-26 06:14:33.636379,gpt-4o,3754,29.99,0.0563
2026-01-26 06:15:27.636379,gpt-4o,1834,14.87,0.0275
2026-01-26 06:17:12.636379,gpt-4o,696,5.58,0.0104
2026-01-26 06:18:33.636379,gpt-4o,1203,11.17,0.018
2026-01-26 06:37:09.636379,gpt-4o,3591,28.47,0.0539
2026-01-26 06:50:16.636379,gemini-1.5-pro,2010,21.48,0.01
2026-01-26 06:58:08.636379,gpt-4o,3243,26.93,0.0486
2026-01-26 07:02:08.636379,gemini-1.5-pro,13048,131.05,0.0652
2026-01-26 07:11:33.636379,gpt-4o,378,3.62,0.0057
2026-01-26 07:11:44.636379,gpt-4o,9110,87.07,0.1366
2026-01-26 07:12:12.636379,gemini-1.5-pro,2006,20.64,0.01
2026-01-26 07:12:49.636379,gpt-4o,735,6.16,0.011
2026-01-26 07:12:58.636379,gemini-1.5-pro,478,5.41,0.0024
2026-01-26 07:14:46.636379,gemini-1.5-pro,1496,15.48,0.0075
2026-01-26 07:18:01.636379,gpt-4o,4544,36.29,0.0682
2026-01-26 07:20:09.636379,gemini-1.5-pro,1591,16.52,0.008
2026-01-26 07:25:28.636379,gemini-1.5-pro,8193,82.39,0.041
2026-01-26 07:29:17.636379,gpt-4o,423,4.71,0.0063
2026-01-26 07:30:11.636379,gemini-1.5-pro,1786,18.3,0.0089
2026-01-26 07:33:15.636379,gpt-4o,516,4.77,0.0077
2026-01-26 07:41:50.636379,gpt-4o,2600,21.27,0.039
2026-01-26 07:50:16.636379,gpt-4o,4389,35.04,0.0658
2026-01-26 07:50:49.636379,gpt-4o,1187,9.55,0.0178
2026-01-26 07:56:36.636379,gemini-1.5-pro,133,2.18,0.0007
2026-01-26 07:58:46.636379,gpt-4o,2206,18.2,0.0331
2026-01-26 08:00:12.636379,gpt-4o,2798,22.69,0.042
2026-01-26 08:04:02.636379,gemini-1.5-pro,2708,36.89,0.0135
2026-01-26 08:09:51.636379,gpt-4o,6221,50.88,0.0933
2026-01-26 08:10:47.636379,gpt-4o,619,4.91,0.0093
2026-01-26 08:24:49.636379,gemini-1.5-pro,3569,36.19,0.0178
2026-01-26 08:26:09.636379,gemini-1.5-pro,5958,60.83,0.0298
2026-01-26 08:26:20.636379,gemini-1.5-pro,305,4.19,0.0015
2026-01-26 08:28:33.636379,gemini-1.5-pro,2489,25.11,0.0124
2026-01-26 08:33:18.636379,gemini-1.5-pro,1092,11.96,0.0055
2026-01-26 08:35:08.636379,gemini-1.5-pro,1666,17.14,0.0083
2026-01-26 08:35:52.636379,gemini-1.5-pro,2559,25.36,0.0128
2026-01-26 08:37:17.636379,gpt-4o,1110,9.22,0.0167
2026-01-26 08:41:22.636379,gemini-1.5-pro,919,10.96,0.0046
2026-01-26 08:51:54.636379,gemini-1.5-pro,1870,20.01,0.0094
2026-01-26 08:52:38.636379,gemini-1.5-pro,609,6.87,0.003
2026-01-26 08:54:19.636379,gpt-4o,610,4.59,0.0092
2026-01-26 09:04:01.636379,gpt-4o,3566,28.01,0.0535
2026-01-26 09:10:12.636379,gemini-1.5-pro,573,6.55,0.0029
2026-01-26 09:13:12.636379,gemini-1.5-pro,3520,36.2,0.0176
2026-01-26 09:21:04.636379,gemini-1.5-pro,2871,29.87,0.0144
2026-01-26 09:21:21.636379,gpt-4o,321,3.36,0.0048
2026-01-26 09:26:45.636379,gpt-4o,918,8.18,0.0138
2026-01-26 09:30:42.636379,gemini-1.5-pro,5967,60.61,0.0298
2026-01-26 09:30:55.636379,gpt-4o,677,6.51,0.0102
2026-01-26 09:39:14.636379,gemini-1.5-pro,1136,11.9,0.0057
2026-01-26 09:40:11.636379,gpt-4o,2869,23.47,0.043
2026-01-26 09:41:14.636379,gpt-4o,3957,31.28,0.0594
2026-01-26 09:42:02.636379,gemini-1.5-pro,1405,14.58,0.007
2026-01-26 09:49:28.636379,gemini-1.5-pro,994,11.24,0.005
2026-01-26 09:49:50.636379,gemini-1.5-pro,7497,76.09,0.0375
2026-01-26 09:59:37.636379,gemini-1.5-pro,10289,102.5,0.0514
2026-01-26 10:12:21.636379,gpt-4o,4811,40.01,0.0722
2026-01-26 10:20:17.636379,gpt-4o,1969,16.33,0.0295
2026-01-26 10:20:51.636379,gpt-4o,805,7.03,0.0121
2026-01-26 10:22:38.636379,gemini-1.5-pro,788,8.38,0.0039
2026-01-26 10:22:44.636379,gpt-4o,3048,24.68,0.0457
2026-01-26 10:26:08.636379,gemini-1.5-pro,2747,28.34,0.0137
2026-01-26 10:43:31.636379,gpt-4o,7343,59.54,0.1101
2026-01-26 10:44:52.636379,gemini-1.5-pro,3464,35.6,0.0173
2026-01-26 10:47:24.636379,gemini-1.5-pro,402,4.55,0.002
2026-01-26 10:49:38.636379,gpt-4o,5176,41.46,0.0776
2026-01-26 10:52:24.636379,gemini-1.5-pro,666,18.94,0.0033
2026-01-26 10:54:48.636379,gemini-1.5-pro,1231,13.49,0.0062
2026-01-26 10:55:25.636379,gpt-4o,2322,19.33,0.0348
2026-01-26 11:05:22.636379,gemini-1.5-pro,13301,134.48,0.0665
2026-01-26 11:11:38.636379,gemini-1.5-pro,30000,301.46,0.15
2026-01-26 11:18:44.636379,gemini-1.5-pro,3316,33.69,0.0166
2026-01-26 11:19:19.636379,gpt-4o,1505,12.5,0.0226
2026-01-26 11:22:41.636379,gpt-4o,3085,24.99,0.0463
2026-01-26 11:25:24.636379,gemini-1.5-pro,4392,45.64,0.022
2026-01-26 11:30:22.636379,gpt-4o,1312,11.38,0.0197
2026-01-26 11:35:19.636379,gemini-1.5-pro,10885,109.62,0.0544
2026-01-26 11:35:38.636379,gemini-1.5-pro,2275,23.18,0.0114
2026-01-26 11:40:10.636379,gemini-1.5-pro,2974,30.56,0.0149
2026-01-26 11:42:36.636379,gemini-1.5-pro,3518,34.88,0.0176
2026-01-26 11:46:08.636379,gemini-1.5-pro,2756,28.19,0.0138
2026-01-26 11:50:43.636379,gpt-4o,4183,33.47,0.0627
2026-01-26 12:03:15.636379,gemini-1.5-pro,975,11.01,0.0049
2026-01-26 12:04:26.636379,gpt-4o,1034,8.61,0.0155
2026-01-26 12:09:07.636379,gpt-4o,601,5.36,0.009
2026-01-26 12:25:35.636379,gemini-1.5-pro,2805,28.79,0.014
2026-01-26 12:28:06.636379,gemini-1.5-pro,3940,40.68,0.0197
2026-01-26 12:33:11.636379,gpt-4o,2857,23.85,0.0429
2026-01-26 12:38:05.636379,gpt-4o,9647,77.94,0.1447
2026-01-26 12:40:58.636379,gpt-4o,1797,15.03,0.027
2026-01-26 12:50:42.636379,gemini-1.5-pro,3528,35.29,0.0176
2026-01-26 12:51:39.636379,gpt-4o,606,5.24,0.0091
2026-01-26 12:56:22.636379,gemini-1.5-pro,1227,13.66,0.0061
2026-01-26 13:01:35.636379,gemini-1.5-pro,3624,37.14,0.0181
2026-01-26 13:09:55.636379,gemini-1.5-pro,4226,42.9,0.0211
2026-01-26 13:11:10.636379,gpt-4o,1347,11.03,0.0202
2026-01-26 13:13:13.636379,gemini-1.5-pro,1683,17.39,0.0084
2026-01-26 13:14:19.636379,gemini-1.5-pro,396,4.81,0.002
2026-01-26 13:14:50.636379,gemini-1.5-pro,1265,13.15,0.0063
2026-01-26 13:17:23.636379,gemini-1.5-pro,4404,45.39,0.022
2026-01-26 13:26:11.636379,gemini-1.5-pro,3213,44.43,0.0161
2026-01-26 13:48:34.636379,gpt-4o,2982,24.95,0.0447
2026-01-26 14:01:34.636379,gemini-1.5-pro,1900,20.72,0.0095
2026-01-26 14:09:37.636379,gemini-1.5-pro,1820,18.71,0.0091
2026-01-26 14:18:51.636379,gpt-4o,934,7.39,0.014
2026-01-26 14:20:41.636379,gemini-1.5-pro,3636,37.59,0.0182
2026-01-26 14:22:41.636379,gpt-4o,2754,22.74,0.0413
2026-01-26 14:22:52.636379,gemini-1.5-pro,2957,30.53,0.0148
2026-01-26 14:37:52.636379,gpt-4o,1068,9.69,0.016
2026-01-26 14:47:49.636379,gpt-4o,209,2.59,0.0031
2026-01-26 14:51:58.636379,gemini-1.5-pro,5416,55.22,0.0271
2026-01-26 14:57:32.636379,gemini-1.5-pro,1120,11.77,0.0056
2026-01-26 14:58:03.636379,gemini-1.5-pro,762,8.8,0.0038
2026-01-26 15:05:20.636379,gpt-4o,3617,28.84,0.0543
2026-01-26 15:06:42.636379,gpt-4o,1221,10.41,0.0183
2026-01-26 15:09:41.636379,gpt-4o,5218,42.23,0.0783
2026-01-26 15:09:51.636379,gemini-1.5-pro,3350,33.5,0.0168
2026-01-26 15:10:48.636379,gpt-4o,3581,29.36,0.0537
2026-01-26 15:19:45.636379,gpt-4o,461,3.9,0.0069
2026-01-26 15:26:18.636379,gemini-1.5-pro,6075,61.75,0.0304
2026-01-26 15:32:05.636379,gpt-4o,2347,18.8,0.0352
2026-01-26 15:36:48.636379,gpt-4o,1249,10.92,0.0187
2026-01-26 15:43:24.636379,gemini-1.5-pro,2086,22.5,0.0104
2026-01-26 15:54:41.636379,gpt-4o,306,1.86,0.0046
2026-01-26 15:59:03.636379,gemini-1.5-pro,2720,27.4,0.0136
2026-01-26 16:06:15.636379,gemini-1.5-pro,645,6.77,0.0032
2026-01-26 16:06:34.636379,gemini-1.5-pro,467,4.79,0.0023
2026-01-26 16:11:06.636379,gemini-1.5-pro,394,4.63,0.002
2026-01-26 16:22:10.636379,gemini-1.5-pro,5501,56.0,0.0275
2026-01-26 16:33:35.636379,gpt-4o,963,8.55,0.0144
2026-01-26 16:34:39.636379,gpt-4o,8381,67.68,0.1257
2026-01-26 16:36:05.636379,gemini-1.5-pro,1058,11.71,0.0053
2026-01-26 16:43:22.636379,gemini-1.5-pro,327,4.04,0.0016
2026-01-26 16:50:50.636379,gpt-4o,591,4.93,0.0089
2026-01-26 17:00:53.636379,gemini-1.5-pro,6221,62.54,0.0311
2026-01-26 17:05:28.636379,gemini-1.5-pro,1547,16.18,0.0077
2026-01-26 17:09:18.636379,gemini-1.5-pro,1044,10.78,0.0052
2026-01-26 17:10:20.636379,gpt-4o,2121,17.64,0.0318
2026-01-26 17:10:39.636379,gpt-4o,2986,23.94,0.0448
2026-01-26 17:13:56.636379,gemini-1.5-pro,5526,55.82,0.0276
2026-01-26 17:18:53.636379,gemini-1.5-pro,7696,78.3,0.0385
2026-01-26 17:31:25.636379,gpt-4o,1261,11.18,0.0189
2026-01-26 17:33:22.636379,gpt-4o,480,4.91,0.0072
2026-01-26 17:35:49.636379,gemini-1.5-pro,1195,12.72,0.006
2026-01-26 17:42:24.636379,gemini-1.5-pro,2345,23.97,0.0117
2026-01-26 17:47:04.636379,gpt-4o,689,6.26,0.0103
2026-01-26 17:48:53.636379,gpt-4o,694,5.61,0.0104
2026-01-26 17:51:26.636379,gpt-4o,2549,21.26,0.0382
2026-01-26 17:52:02.636379,gemini-1.5-pro,1722,17.7,0.0086
2026-01-26 17:54:30.636379,gpt-4o,1868,15.33,0.028
2026-01-26 17:56:26.636379,gemini-1.5-pro,846,9.64,0.0042
2026-01-26 18:14:54.636379,gpt-4o,1435,11.07,0.0215
2026-01-26 18:25:03.636379,gpt-4o,717,5.94,0.0108
2026-01-26 18:31:41.636379,gpt-4o,4403,35.91,0.066
2026-01-26 18:35:45.636379,gpt-4o,5091,41.52,0.0764
2026-01-26 18:36:20.636379,gemini-1.5-pro,285,3.86,0.0014
2026-01-26 18:43:49.636379,gemini-1.5-pro,713,7.81,0.0036
2026-01-26 18:44:37.636379,gpt-4o,404,12.92,0.0061
2026-01-26 18:52:55.636379,gemini-1.5-pro,943,9.75,0.0047
2026-01-26 18:59:42.636379,gpt-4o,1663,13.94,0.0249
2026-01-26 18:59:43.636379,gpt-4o,424,3.74,0.0064
2026-01-26 19:03:30.636379,gpt-4o,719,7.07,0.0108
2026-01-26 19:04:34.636379,gpt-4o,662,19.09,0.0099
2026-01-26 19:06:47.636379,gemini-1.5-pro,2224,23.44,0.0111
2026-01-26 19:07:40.636379,gpt-4o,1937,15.71,0.0291
2026-01-26 19:08:11.636379,gpt-4o,878,7.95,0.0132
2026-01-26 19:08:39.636379,gemini-1.5-pro,2157,21.76,0.0108
2026-01-26 19:10:15.636379,gpt-4o,1046,9.59,0.0157
2026-01-26 19:24:32.636379,gpt-4o,1377,11.52,0.0207
2026-01-26 19:31:39.636379,gpt-4o,9637,77.3,0.1446
2026-01-26 19:31:58.636379,gemini-1.5-pro,6908,69.73,0.0345
2026-01-26 19:37:45.636379,gpt-4o,492,4.06,0.0074
2026-01-26 19:40:05.636379,gemini-1.5-pro,4145,42.14,0.0207
2026-01-26 19:44:05.636379,gpt-4o,4069,32.46,0.061
2026-01-26 19:47:56.636379,gpt-4o,573,5.99,0.0086
2026-01-26 19:58:51.636379,gemini-1.5-pro,4100,41.52,0.0205
2026-01-26 20:16:10.636379,gpt-4o,8416,68.24,0.1262
2026-01-26 20:16:23.636379,gpt-4o,588,5.31,0.0088
2026-01-26 20:17:27.636379,gemini-1.5-pro,722,7.53,0.0036
2026-01-26 20:18:44.636379,gemini-1.5-pro,5002,50.73,0.025
2026-01-26 20:21:37.636379,gemini-1.5-pro,2372,25.12,0.0119
2026-01-26 20:32:32.636379,gemini-1.5-pro,3138,31.95,0.0157
2026-01-26 20:42:44.636379,gemini-1.5-pro,2541,25.67,0.0127
2026-01-26 20:48:17.636379,gpt-4o,2672,22.15,0.0401
2026-01-26 20:49:20.636379,gemini-1.5-pro,479,4.5,0.0024
2026-01-26 20:54:05.636379,gpt-4o,5152,41.58,0.0773
2026-01-26 20:56:12.636379,gpt-4o,5823,47.73,0.0873
2026-01-26 21:00:48.636379,gpt-4o,1437,11.89,0.0216
2026-01-26 21:09:40.636379,gemini-1.5-pro,1731,18.58,0.0087
2026-01-26 21:12:23.636379,gemini-1.5-pro,391,4.16,0.002
2026-01-26 21:15:18.636379,gpt-4o,3023,38.29,0.0453
2026-01-26 21:25:17.636379,gemini-1.5-pro,3203,32.46,0.016
2026-01-26 21:26:50.636379,gemini-1.5-pro,1699,17.46,0.0085
2026-01-26 21:29:57.636379,gemini-1.5-pro,5565,55.82,0.0278
2026-01-26 21:40:45.636379,gemini-1.5-pro,1294,13.75,0.0065
2026-01-26 21:41:15.636379,gpt-4o,3179,25.8,0.0477
2026-01-26 21:46:10.636379,gpt-4o,652,6.23,0.0098
2026-01-26 21:47:03.636379,gemini-1.5-pro,1765,17.86,0.0088
2026-01-26 21:52:14.636379,gpt-4o,1518,23.01,0.0228
2026-01-26 21:54:35.636379,gemini-1.5-pro,2264,23.21,0.0113
2026-01-26 21:56:26.636379,gemini-1.5-pro,1249,14.15,0.0062
2026-01-26 21:57:10.636379,gpt-4o,1585,13.36,0.0238
2026-01-26 22:05:55.636379,gpt-4o,4130,34.17,0.062
2026-01-26 22:15:11.636379,gpt-4o,1168,10.39,0.0175
2026-01-26 22:16:02.636379,gemini-1.5-pro,362,4.63,0.0018
2026-01-26 22:27:59.636379,gpt-4o,10400,83.89,0.156
2026-01-26 22:28:26.636379,gemini-1.5-pro,7197,73.19,0.036
2026-01-26 22:34:40.636379,gpt-4o,496,4.73,0.0074
2026-01-26 22:37:18.636379,gpt-4o,3603,28.71,0.054
2026-01-26 22:42:20.636379,gemini-1.5-pro,1093,10.72,0.0055
2026-01-26 22:43:18.636379,gemini-1.5-pro,2353,22.91,0.0118
2026-01-26 22:48:36.636379,gemini-1.5-pro,2426,24.95,0.0121
2026-01-26 22:57:10.636379,gemini-1.5-pro,1430,15.79,0.0072
2026-01-26 23:18:41.636379,gemini-1.5-pro,825,8.35,0.0041
2026-01-26 23:32:11.636379,gemini-1.5-pro,906,9.84,0.0045
2026-01-26 23:33:57.636379,gemini-1.5-pro,723,7.91,0.0036
2026-01-26 23:43:22.636379,gemini-1.5-pro,786,8.97,0.0039
2026-01-26 23:45:01.636379,gpt-4o,1690,14.37,0.0253
2026-01-26 23:47:26.636379,gemini-1.5-pro,883,10.71,0.0044
2026-01-26 23:50:43.636379,gemini-1.5-pro,3576,36.68,0.0179
2026-01-26 23:52:37.636379,gpt-4o,8000,64.1,0.12
2026-01-26 23:56:57.636379,gemini-1.5-pro,1012,10.64,0.0051
2026-01-27 00:05:39.636379,gpt-4o,2297,18.64,0.0345
2026-01-27 00:09:08.636379,gpt-4o,2980,24.02,0.0447
2026-01-27 00:15:11.636379,gemini-1.5-pro,2898,30.61,0.0145
2026-01-27 00:19:13.636379,gpt-4o,1950,16.43,0.0292
2026-01-27 00:29:47.636379,gemini-1.5-pro,3799,37.97,0.019
2026-01-27 00:37:36.636379,gpt-4o,2928,24.16,0.0439
2026-01-27 00:40:45.636379,gpt-4o,524,4.16,0.0079
2026-01-27 00:41:28.636379,gpt-4o,4311,35.33,0.0647
2026-01-27 00:43:42.636379,gemini-1.5-pro,4390,45.25,0.0219
2026-01-27 00:48:29.636379,gemini-1.5-pro,842,9.1,0.0042
2026-01-27 00:48:49.636379,gpt-4o,1877,15.23,0.0282
2026-01-27 00:54:05.636379,gpt-4o,3580,29.88,0.0537
2026-01-27 01:00:45.636379,gemini-1.5-pro,1466,15.11,0.0073
2026-01-27 01:02:05.636379,gemini-1.5-pro,5286,53.26,0.0264
2026-01-27 01:02:35.636379,gpt-4o,19223,153.81,0.2883
2026-01-27 01:10:12.636379,gpt-4o,823,7.04,0.0123
2026-01-27 01:37:50.636379,gemini-1.5-pro,454,17.26,0.0023
2026-01-27 01:40:37.636379,gemini-1.5-pro,2449,25.14,0.0122
2026-01-27 01:43:07.636379,gemini-1.5-pro,3720,38.14,0.0186
2026-01-27 01:45:50.636379,gemini-1.5-pro,1435,14.91,0.0072
2026-01-27 01:48:49.636379,gemini-1.5-pro,7733,78.19,0.0387
2026-01-27 02:11:55.636379,gpt-4o,474,4.93,0.0071
2026-01-27 02:13:28.636379,gemini-1.5-pro,3615,36.64,0.0181
2026-01-27 02:15:22.636379,gpt-4o,986,8.33,0.0148
2026-01-27 02:20:50.636379,gemini-1.5-pro,10090,101.99,0.0504
2026-01-27 02:22:00.636379,gpt-4o,13260,106.83,0.1989
2026-01-27 02:23:01.636379,gemini-1.5-pro,839,9.46,0.0042
2026-01-27 02:27:15.636379,gemini-1.5-pro,1043,11.0,0.0052
2026-01-27 02:35:27.636379,gpt-4o,4270,41.54,0.064
2026-01-27 02:38:41.636379,gpt-4o,1227,11.51,0.0184
2026-01-27 02:42:38.636379,gemini-1.5-pro,1727,33.27,0.0086
2026-01-27 02:48:25.636379,gemini-1.5-pro,1854,19.36,0.0093
2026-01-27 02:51:15.636379,gemini-1.5-pro,265,3.31,0.0013
2026-01-27 02:52:08.636379,gemini-1.5-pro,1783,17.61,0.0089
2026-01-27 02:55:27.636379,gemini-1.5-pro,907,10.93,0.0045
2026-01-27 02:57:14.636379,gpt-4o,1104,9.35,0.0166
2026-01-27 02:58:53.636379,gpt-4o,7658,62.76,0.1149
2026-01-27 03:06:11.636379,gemini-1.5-pro,514,6.14,0.0026
2026-01-27 03:11:54.636379,gpt-4o,4077,32.64,0.0612
2026-01-27 03:15:19.636379,gpt-4o,1367,10.89,0.0205
2026-01-27 03:35:03.636379,gpt-4o,1366,11.61,0.0205
2026-01-27 03:46:56.636379,gemini-1.5-pro,3985,40.75,0.0199
2026-01-27 04:06:08.636379,gpt-4o,2540,20.49,0.0381
2026-01-27 04:06:37.636379,gemini-1.5-pro,3199,31.24,0.016
2026-01-27 04:09:40.636379,gpt-4o,4760,38.64,0.0714
2026-01-27 04:11:15.636379,gemini-1.5-pro,1298,14.78,0.0065
2026-01-27 04:15:28.636379,gpt-4o,980,9.35,0.0147
2026-01-27 04:24:33.636379,gemini-1.5-pro,610,7.19,0.0031
2026-01-27 04:33:35.636379,gemini-1.5-pro,792,8.53,0.004
2026-01-27 04:34:52.636379,gpt-4o,30000,240.63,0.45
2026-01-27 04:42:26.636379,gemini-1.5-pro,6277,63.16,0.0314
2026-01-27 04:43:11.636379,gemini-1.5-pro,468,5.81,0.0023
2026-01-27 04:53:48.636379,gemini-1.5-pro,481,4.98,0.0024
2026-01-27 04:53:53.636379,gemini-1.5-pro,2927,30.2,0.0146
2026-01-27 04:55:16.636379,gemini-1.5-pro,3125,32.56,0.0156
2026-01-27 04:56:17.636379,gemini-1.5-pro,3130,32.35,0.0156
2026-01-27 05:20:31.636379,gemini-1.5-pro,1401,14.39,0.007
2026-01-27 05:26:52.636379,gemini-1.5-pro,1594,17.42,0.008
2026-01-27 05:41:08.636379,gpt-4o,2509,20.59,0.0376
2026-01-27 05:46:34.636379,gpt-4o,1970,16.29,0.0296
2026-01-27 05:56:08.636379,gemini-1.5-pro,196,3.08,0.001
2026-01-27 05:58:05.636379,gemini-1.5-pro,1436,13.52,0.0072
2026-01-27 06:01:20.636379,gpt-4o,771,6.26,0.0116
2026-01-27 06:03:47.636379,gpt-4o,2154,17.56,0.0323
2026-01-27 06:08:55.636379,gpt-4o,30000,241.08,0.45
2026-01-27 06:12:18.636379,gemini-1.5-pro,2610,26.15,0.013
2026-01-27 06:19:47.636379,gpt-4o,1321,11.28,0.0198
2026-01-27 06:35:07.636379,gemini-1.5-pro,4545,45.88,0.0227
2026-01-27 06:36:09.636379,gemini-1.5-pro,2929,29.94,0.0146
2026-01-27 06:58:49.636379,gpt-4o,2752,22.07,0.0413
2026-01-27 06:59:57.636379,gemini-1.5-pro,3317,33.71,0.0166
2026-01-27 07:10:13.636379,gemini-1.5-pro,14136,142.13,0.0707
2026-01-27 07:10:32.636379,gemini-1.5-pro,583,6.56,0.0029
2026-01-27 07:13:28.636379,gemini-1.5-pro,2903,29.45,0.0145
2026-01-27 07:15:04.636379,gpt-4o,715,5.2,0.0107
2026-01-27 07:16:42.636379,gpt-4o,3151,25.28,0.0473
2026-01-27 07:17:33.636379,gemini-1.5-pro,721,7.6,0.0036
2026-01-27 07:17:54.636379,gemini-1.5-pro,1191,22.23,0.006
2026-01-27 07:18:55.636379,gpt-4o,1346,10.8,0.0202
2026-01-27 07:22:05.636379,gemini-1.5-pro,4797,49.15,0.024
2026-01-27 07:29:04.636379,gpt-4o,4529,35.77,0.0679
2026-01-27 07:37:32.636379,gemini-1.5-pro,520,6.15,0.0026
2026-01-27 07:41:50.636379,gemini-1.5-pro,1910,19.78,0.0096
2026-01-27 07:54:34.636379,gpt-4o,889,7.93,0.0133
2026-01-27 07:54:38.636379,gpt-4o,513,4.46,0.0077
2026-01-27 07:56:53.636379,gpt-4o,1455,11.72,0.0218
2026-01-27 08:00:04.636379,gpt-4o,1328,11.12,0.0199
2026-01-27 08:00:38.636379,gemini-1.5-pro,20470,205.47,0.1024
2026-01-27 08:04:33.636379,gpt-4o,2787,22.92,0.0418
2026-01-27 08:18:09.636379,gemini-1.5-pro,455,5.81,0.0023
2026-01-27 08:30:09.636379,gpt-4o,1027,8.19,0.0154
2026-01-27 08:37:30.636379,gpt-4o,5020,41.09,0.0753
2026-01-27 08:45:51.636379,gemini-1.5-pro,14595,146.16,0.073
2026-01-27 08:47:11.636379,gpt-4o,370,3.75,0.0055
2026-01-27 09:03:58.636379,gpt-4o,275,3.01,0.0041
2026-01-27 09:04:38.636379,gpt-4o,11742,94.2,0.1761
2026-01-27 09:05:49.636379,gpt-4o,2669,21.47,0.04
2026-01-27 09:09:56.636379,gemini-1.5-pro,758,14.0,0.0038
