Review_ID,True_Label,Predicted_Label,Source
REV-00262,Negative,Negative,Website
REV-00263,Positive,Negative,Website
REV-00264,Positive,Positive,Mobile App
REV-00265,Positive,Neutral,Website
REV-00266,Positive,Positive,Mobile App
REV-00267,Positive,Positive,Mobile App
REV-00268,Neutral,Neutral,Mobile App
REV-00269,Negative,Negative,Mobile App
REV-00270,Positive,Positive,Website
REV-00271,Positive,Negative,Mobile App
REV-00272,Positive,Positive,Mobile App
REV-00273,Positive,Positive,Mobile App
REV-00274,Positive,Positive,Mobile App
REV-00275,Positive,Positive,Mobile App
REV-00276,Positive,Positive,Website
REV-00277,Positive,Positive,Website
REV-00278,Positive,Positive,Mobile App
REV-00279,Positive,Positive,Website
REV-00280,Positive,Positive,Website
REV-00281,Neutral,Neutral,Mobile App
REV-00282,Neutral,Positive,Mobile App
REV-00283,Negative,Neutral,Mobile App
REV-00284,Positive,Positive,Website
REV-00285,Negative,Negative,Mobile App
REV-00286,Neutral,Neutral,Website
REV-00287,Positive,Positive,Website
REV-00288,Negative,Neutral,Website
REV-00289,Positive,Positive,Mobile App
REV-00290,Negative,Negative,Website
REV-00291,Negative,Neutral,Mobile App
REV-00292,Positive,Positive,Mobile App
REV-00293,Neutral,Neutral,Mobile App
REV-00294,Negative,Neutral,Mobile App
REV-00295,Positive,Neutral,Mobile App
REV-00296,Positive,Positive,Website
REV-00297,Negative,Negative,Website
REV-00298,Positive,Positive,Website
REV-00299,Negative,Negative,Website
REV-00300,Negative,Negative,Website
REV-00301,Positive,Positive,Mobile App
REV-00302,Positive,Positive,Mobile App
REV-00303,Positive,Positive,Website
REV-00304,Positive,Positive,Website
REV-00305,Positive,Positive,Website
REV-00306,Positive,Positive,Mobile App
REV-00307,Neutral,Negative,Mobile App
REV-00308,Positive,Positive,Mobile App
REV-00309,Negative,Negative,Website
REV-00310,Neutral,Neutral,Website
REV-00311,Negative,Negative,Website
REV-00312,Negative,Negative,Website
REV-00313,Positive,Negative,Mobile App
REV-00314,Positive,Positive,Website
REV-00315,Positive,Positive,Website
REV-00316,Neutral,Neutral,Website
REV-00317,Negative,Negative,Mobile App
REV-00318,Negative,Negative,Mobile App
REV-00319,Negative,Negative,Website
REV-00320,Positive,Positive,Mobile App
REV-00321,Positive,Neutral,Mobile App
REV-00322,Positive,Positive,Mobile App
REV-00323,Negative,Negative,Mobile App
REV-00324,Positive,Positive,Mobile App
REV-00325,Positive,Positive,Website
REV-00326,Positive,Positive,Website
REV-00327,Positive,Positive,Website
REV-00328,Neutral,Negative,Mobile App
REV-00329,Negative,Negative,Mobile App
REV-00330,Neutral,Neutral,Mobile App
REV-00331,Positive,Positive,Mobile App
REV-00332,Negative,Negative,Website
REV-00333,Negative,Negative,Website
REV-00334,Negative,Neutral,Website
REV-00335,Negative,Negative,Website
REV-00336,Positive,Positive,Website
REV-00337,Positive,Positive,Website
REV-00338,Neutral,Neutral,Mobile App
REV-00339,Negative,Negative,Mobile App
REV-00340,Neutral,Positive,Website
REV-00341,Neutral,Neutral,Mobile App
REV-00342,Negative,Negative,Website
REV-00343,Neutral,Neutral,Website
REV-00344,Neutral,Neutral,Mobile App
REV-00345,Positive,Positive,Website
REV-00346,Positive,Positive,Website
REV-00347,Negative,Negative,Website
REV-00348,Neutral,Neutral,Mobile App
REV-00349,Positive,Positive,Mobile App
REV-00350,Positive,Positive,Mobile App
REV-00351,Positive,Positive,Mobile App
REV-00352,Positive,Positive,Website
REV-00353,Negative,Negative,Mobile App
REV-00354,Negative,Negative,Mobile App
REV-00355,Positive,Neutral,Mobile App
REV-00356,Negative,Negative,Website
REV-00357,Positive,Positive,Mobile App
REV-00358,Positive,Positive,Mobile App
REV-00359,Positive,Positive,Website
REV-00360,Neutral,Neutral,Website
REV-00361,Positive,Positive,Website
REV-00362,Neutral,Neutral,Website
REV-00363,Positive,Positive,Mobile App
REV-00364,Positive,Positive,Website
REV-00365,Neutral,Neutral,Mobile App
REV-00366,Positive,Positive,Mobile App
REV-00367,Positive,Positive,Mobile App
REV-00368,Negative,Negative,Mobile App
REV-00369,Negative,Negative,Mobile App
REV-00370,Negative,Negative,Website
REV-00371,Negative,Negative,Mobile App
REV-00372,Negative,Negative,Mobile App
REV-00373,Positive,Positive,Mobile App
REV-00374,Negative,Negative,Website
REV-00375,Neutral,Neutral,Mobile App
REV-00376,Positive,Positive,Mobile App
REV-00377,Negative,Negative,Website
REV-00378,Positive,Neutral,Mobile App
REV-00379,Negative,Negative,Mobile App
REV-00380,Negative,Negative,Website
REV-00381,Positive,Positive,Mobile App
REV-00382,Positive,Neutral,Mobile App
REV-00383,Positive,Positive,Mobile App
REV-00384,Positive,Neutral,Mobile App
REV-00385,Positive,Positive,Mobile App
REV-00386,Negative,Negative,Website
REV-00387,Negative,Negative,Website
REV-00388,Positive,Neutral,Website
REV-00389,Positive,Positive,Mobile App
REV-00390,Positive,Positive,Mobile App
REV-00391,Neutral,Positive,Mobile App
REV-00392,Neutral,Positive,Website
REV-00393,Positive,Positive,Mobile App
REV-00394,Neutral,Positive,Mobile App
REV-00395,Positive,Positive,Mobile App
REV-00396,Positive,Positive,Website
REV-00397,Neutral,Neutral,Website
REV-00398,Positive,Positive,Mobile App
REV-00399,Positive,Positive,Mobile App
REV-00400,Negative,Negative,Mobile App
REV-00401,Positive,Neutral,Website
REV-00402,Positive,Positive,Website
REV-00403,Positive,Positive,Website
REV-00404,Neutral,Neutral,Mobile App
REV-00405,Positive,Positive,Website
REV-00406,Neutral,Positive,Mobile App
REV-00407,Negative,Positive,Mobile App
REV-00408,Positive,Positive,Website
REV-00409,Negative,Negative,Mobile App
REV-00410,Neutral,Neutral,Website
REV-00411,Positive,Positive,Mobile App
REV-00412,Positive,Neutral,Mobile App
REV-00413,Positive,Positive,Website
REV-00414,Positive,Positive,Mobile App
REV-00415,Neutral,Neutral,Mobile App
REV-00416,Negative,Negative,Mobile App
REV-00417,Neutral,Neutral,Mobile App
REV-00418,Positive,Positive,Mobile App
REV-00419,Positive,Negative,Mobile App
REV-00420,Positive,Positive,Mobile App
REV-00421,Positive,Positive,Mobile App
REV-00422,Negative,Negative,Website
REV-00423,Neutral,Negative,Website
REV-00424,Negative,Negative,Mobile App
REV-00425,Positive,Positive,Mobile App
REV-00426,Neutral,Neutral,Website
REV-00427,Positive,Positive,Mobile App
REV-00428,Neutral,Positive,Website
REV-00429,Negative,Negative,Website
REV-00430,Negative,Negative,Website
REV-00431,Positive,Positive,Mobile App
REV-00432,Positive,Positive,Mobile App
REV-00433,Negative,Negative,Mobile App
REV-00434,Negative,Negative,Website
REV-00435,Positive,Positive,Website
REV-00436,Negative,Negative,Website
REV-00437,Positive,Positive,Mobile App
REV-00438,Positive,Positive,Website
REV-00439,Negative,Neutral,Website
REV-00440,Negative,Negative,Mobile App
REV-00441,Positive,Positive,Website
REV-00442,Neutral,Neutral,Website
REV-00443,Neutral,Positive,Mobile App
REV-00444,Positive,Positive,Mobile App
REV-00445,Positive,Positive,Website
REV-00446,Positive,Positive,Mobile App
REV-00447,Positive,Positive,Website
REV-00448,Neutral,Neutral,Mobile App
REV-00449,Negative,Negative,Website
REV-00450,Positive,Positive,Mobile App
REV-00451,Positive,Positive,Website
REV-00452,Neutral,Neutral,Mobile App
REV-00453,Positive,Positive,Mobile App
REV-00454,Negative,Neutral,Mobile App
REV-00455,Neutral,Neutral,Mobile App
REV-00456,Negative,Negative,Mobile App
REV-00457,Neutral,Neutral,Mobile App
REV-00458,Negative,Negative,Mobile App
REV-00459,Negative,Negative,Website
REV-00460,Negative,Negative,Website
REV-00461,Positive,Positive,Mobile App
REV-00462,Positive,Positive,Mobile App
REV-00463,Positive,Positive,Website
REV-00464,Positive,Positive,Website
REV-00465,Neutral,Neutral,Mobile App
REV-00466,Negative,Negative,Website
REV-00467,Positive,Positive,Website
REV-00468,Negative,Negative,Mobile App
REV-00469,Positive,Positive,Mobile App
REV-00470,Negative,Negative,Mobile App
REV-00471,Positive,Positive,Website
REV-00472,Negative,Negative,Mobile App
REV-00473,Positive,Positive,Mobile App
REV-00474,Positive,Positive,Website
REV-00475,Positive,Positive,Mobile App
REV-00476,Negative,Neutral,Website
REV-00477,Positive,Positive,Website
REV-00478,Positive,Positive,Website
REV-00479,Positive,Positive,Website
REV-00480,Positive,Positive,Website
REV-00481,Positive,Positive,Website
REV-00482,Neutral,Neutral,Mobile App
REV-00483,Positive,Positive,Mobile App
REV-00484,Positive,Positive,Mobile App
REV-00485,Positive,Positive,Website
REV-00486,Negative,Negative,Mobile App
REV-00487,Negative,Negative,Website
REV-00488,Positive,Neutral,Mobile App
REV-00489,Positive,Positive,Website
REV-00490,Neutral,Negative,Mobile App
REV-00491,Positive,Positive,Website
REV-00492,Negative,Neutral,Mobile App
REV-00493,Negative,Neutral,Website
REV-00494,Neutral,Neutral,Mobile App
REV-00495,Neutral,Neutral,Website
REV-00496,Positive,Positive,Mobile App
REV-00497,Negative,Neutral,Mobile App
REV-00498,Positive,Positive,Mobile App
REV-00499,Positive,Positive,Website
REV-00500,Positive,Positive,Website
REV-00501,Positive,Positive,Website
REV-00502,Neutral,Positive,Website
REV-00503,Positive,Neutral,Website
REV-00504,Positive,Positive,Mobile App
REV-00505,Negative,Negative,Website
REV-00506,Positive,Positive,Mobile App
REV-00507,Positive,Positive,Mobile App
REV-00508,Positive,Positive,Website
REV-00509,Positive,Neutral,Mobile App
REV-00510,Positive,Positive,Website
REV-00511,Neutral,Negative,Website
REV-00512,Positive,Positive,Website
REV-00513,Positive,Positive,Mobile App
REV-00514,Negative,Neutral,Website
REV-00515,Negative,Neutral,Website
REV-00516,Neutral,Negative,Website
REV-00517,Positive,Positive,Mobile App
REV-00518,Positive,Neutral,Website
REV-00519,Negative,Negative,Mobile App
REV-00520,Positive,Positive,Mobile App
REV-00521,Neutral,Neutral,Website
REV-00522,Positive,Positive,Mobile App
REV-00523,Positive,Positive,Mobile App
REV-00524,Positive,Positive,Website
REV-00525,Neutral,Negative,Website
REV-00526,Neutral,Positive,Website
REV-00527,Negative,Negative,Mobile App
REV-00528,Negative,Neutral,Website
REV-00529,Positive,Positive,Mobile App
REV-00530,Positive,Positive,Mobile App
REV-00531,Positive,Positive,Mobile App
REV-00532,Positive,Positive,Mobile App
REV-00533,Positive,Positive,Mobile App
REV-00534,Positive,Positive,Website
REV-00535,Positive,Positive,Website
REV-00536,Positive,Positive,Mobile App
REV-00537,Negative,Negative,Mobile App
REV-00538,Neutral,Neutral,Website
REV-00539,Negative,Negative,Website
REV-00540,Positive,Positive,Mobile App
REV-00541,Positive,Positive,Mobile App
REV-00542,Negative,Negative,Website
REV-00543,Positive,Positive,Website
REV-00544,Positive,Positive,Mobile App
REV-00545,Neutral,Neutral,Website
REV-00546,Negative,Negative,Website
REV-00547,Positive,Positive,Mobile App
REV-00548,Positive,Positive,Mobile App
REV-00549,Positive,Positive,Mobile App
REV-00550,Positive,Positive,Website
REV-00551,Positive,Positive,Mobile App
REV-00552,Positive,Positive,Website
REV-00553,Positive,Positive,Mobile App
REV-00554,Positive,Positive,Mobile App
REV-00555,Neutral,Neutral,Website
REV-00556,Negative,Negative,Website
REV-00557,Negative,Negative,Mobile App
REV-00558,Positive,Neutral,Mobile App
REV-00559,Positive,Positive,Website
REV-00560,Positive,Positive,Mobile App
REV-00561,Negative,Negative,Website
REV-00562,Negative,Negative,Website
REV-00563,Negative,Negative,Mobile App
REV-00564,Neutral,Neutral,Website
REV-00565,Positive,Positive,Website
REV-00566,Neutral,Neutral,Website
REV-00567,Neutral,Neutral,Mobile App
REV-00568,Positive,Positive,Website
REV-00569,Neutral,Positive,Mobile App
REV-00570,Positive,Positive,Mobile App
REV-00571,Positive,Positive,Mobile App
REV-00572,Neutral,Neutral,Website
REV-00573,Positive,Positive,Website
REV-00574,Positive,Positive,Mobile App
REV-00575,Positive,Positive,Mobile App
REV-00576,Negative,Negative,Website
REV-00577,Positive,Positive,Mobile App
REV-00578,Neutral,Neutral,Mobile App
REV-00579,Negative,Negative,Website
REV-00580,Neutral,Neutral,Mobile App
REV-00581,Positive,Positive,Website
REV-00582,Neutral,Neutral,Website
REV-00583,Neutral,Positive,Mobile App
REV-00584,Positive,Positive,Website
REV-00585,Negative,Negative,Website
REV-00586,Negative,Negative,Website
REV-00587,Negative,Negative,Mobile App
REV-00588,Negative,Negative,Mobile App
REV-00589,Negative,Negative,Mobile App
REV-00590,Negative,Neutral,Website
REV-00591,Positive,Positive,Website
REV-00592,Negative,Negative,Mobile App
REV-00593,Neutral,Neutral,Mobile App
REV-00594,Positive,Positive,Website
REV-00595,Neutral,Neutral,Mobile App
REV-00596,Positive,Positive,Mobile App
REV-00597,Negative,Negative,Mobile App
REV-00598,Negative,Negative,Mobile App
REV-00599,Negative,Negative,Mobile App
REV-00600,Negative,Negative,Website
REV-00601,Negative,Negative,Mobile App
REV-00602,Negative,Negative,Mobile App
REV-00603,Negative,Negative,Website
REV-00604,Negative,Negative,Website
REV-00605,Neutral,Neutral,Website
REV-00606,Negative,Negative,Website
REV-00607,Neutral,Neutral,Mobile App
REV-00608,Positive,Positive,Mobile App
REV-00609,Positive,Positive,Mobile App
REV-00610,Negative,Negative,Mobile App
REV-00611,Positive,Positive,Website
REV-00612,Positive,Positive,Website
REV-00613,Negative,Negative,Mobile App
REV-00614,Positive,Positive,Mobile App
REV-00615,Positive,Neutral,Mobile App
REV-00616,Negative,Negative,Mobile App
REV-00617,Negative,Negative,Website
REV-00618,Positive,Positive,Mobile App
REV-00619,Positive,Positive,Website
REV-00620,Negative,Negative,Website
REV-00621,Negative,Negative,Website
REV-00622,Neutral,Neutral,Website
REV-00623,Neutral,Positive,Mobile App
REV-00624,Positive,Positive,Mobile App
REV-00625,Neutral,Neutral,Mobile App
REV-00626,Neutral,Negative,Mobile App
REV-00627,Positive,Positive,Website
REV-00628,Negative,Negative,Website
REV-00629,Negative,Negative,Website
REV-00630,Positive,Positive,Mobile App
REV-00631,Positive,Positive,Website
REV-00632,Positive,Positive,Website
REV-00633,Positive,Positive,Website
REV-00634,Negative,Negative,Website
REV-00635,Neutral,Neutral,Mobile App
REV-00636,Positive,Positive,Website
REV-00637,Negative,Negative,Website
REV-00638,Negative,Negative,Mobile App
REV-00639,Neutral,Neutral,Mobile App
REV-00640,Negative,Negative,Mobile App
REV-00641,Neutral,Positive,Website
REV-00642,Negative,Negative,Website
REV-00643,Neutral,Neutral,Website
REV-00644,Negative,Negative,Website
REV-00645,Positive,Positive,Mobile App
REV-00646,Positive,Positive,Website
REV-00647,Positive,Positive,Website
REV-00648,Positive,Positive,Mobile App
REV-00649,Neutral,Positive,Mobile App
REV-00650,Negative,Negative,Mobile App
REV-00651,Positive,Positive,Website
REV-00652,Positive,Positive,Website
REV-00653,Positive,Positive,Website
REV-00654,Neutral,Negative,Website
REV-00655,Negative,Negative,Website
REV-00656,Negative,Negative,Mobile App
REV-00657,Neutral,Neutral,Mobile App
REV-00658,Positive,Positive,Website
REV-00659,Positive,Positive,Website
REV-00660,Neutral,Neutral,Website
REV-00661,Positive,Positive,Website
REV-00662,Positive,Neutral,Website
REV-00663,Negative,Negative,Mobile App
REV-00664,Negative,Negative,Mobile App
REV-00665,Negative,Negative,Mobile App
REV-00666,Negative,Negative,Website
REV-00667,Negative,Negative,Website
REV-00668,Negative,Negative,Mobile App
REV-00669,Negative,Negative,Mobile App
REV-00670,Negative,Negative,Website
REV-00671,Positive,Neutral,Mobile App
REV-00672,Negative,Negative,Mobile App
REV-00673,Positive,Positive,Website
REV-00674,Neutral,Neutral,Mobile App
REV-00675,Positive,Positive,Mobile App
REV-00676,Negative,Negative,Mobile App
REV-00677,Neutral,Neutral,Website
REV-00678,Positive,Positive,Mobile App
REV-00679,Positive,Positive,Mobile App
REV-00680,Positive,Positive,Mobile App
REV-00681,Negative,Negative,Website
REV-00682,Negative,Negative,Website
REV-00683,Positive,Positive,Mobile App
REV-00684,Positive,Positive,Website
REV-00685,Positive,Positive,Mobile App
REV-00686,Positive,Positive,Website
REV-00687,Negative,Negative,Website
REV-00688,Positive,Neutral,Mobile App
REV-00689,Negative,Negative,Mobile App
REV-00690,Neutral,Neutral,Mobile App
REV-00691,Neutral,Neutral,Website
REV-00692,Positive,Positive,Mobile App
REV-00693,Negative,Negative,Website
REV-00694,Negative,Negative,Website
REV-00695,Positive,Neutral,Mobile App
REV-00696,Negative,Neutral,Website
REV-00697,Positive,Positive,Mobile App
REV-00698,Negative,Neutral,Website
REV-00699,Neutral,Neutral,Mobile App
REV-00700,Positive,Positive,Website
REV-00701,Negative,Negative,Website
REV-00702,Neutral,Neutral,Mobile App
REV-00703,Negative,Negative,Website
REV-00704,Negative,Neutral,Mobile App
REV-00705,Positive,Positive,Website
REV-00706,Neutral,Neutral,Website
REV-00707,Positive,Positive,Website
REV-00708,Negative,Negative,Mobile App
REV-00709,Positive,Positive,Mobile App
REV-00710,Positive,Negative,Mobile App
REV-00711,Positive,Positive,Mobile App
REV-00712,Neutral,Neutral,Mobile App
REV-00713,Neutral,Neutral,Website
REV-00714,Neutral,Positive,Website
REV-00715,Positive,Positive,Mobile App
REV-00716,Positive,Positive,Website
REV-00717,Positive,Neutral,Website
REV-00718,Negative,Negative,Website
REV-00719,Positive,Positive,Website
REV-00720,Positive,Positive,Mobile App
REV-00721,Negative,Negative,Website
REV-00722,Negative,Neutral,Mobile App
REV-00723,Positive,Positive,Mobile App
REV-00724,Positive,Positive,Website
REV-00725,Positive,Positive,Mobile App
REV-00726,Negative,Negative,Website
REV-00727,Positive,Neutral,Website
REV-00728,Negative,Negative,Website
REV-00729,Negative,Negative,Mobile App
REV-00730,Negative,Negative,Mobile App
REV-00731,Positive,Positive,Mobile App
REV-00732,Positive,Positive,Website
REV-00733,Positive,Positive,Website
REV-00734,Neutral,Neutral,Website
REV-00735,Positive,Positive,Mobile App
REV-00736,Neutral,Neutral,Website
